"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"2014006-046","1","11",0.118598940299049,0.0209032124177983,152.908295426562,0.0808974289275681,0.163490191794712
"2014007-001","1","11",0.163545099923137,0.0245466029521471,152.90829537075,0.118645707086684,0.215634232883814
"2014008-016","1","11",0.172023580522506,0.0251748343181983,152.90829535875,0.125883053950095,0.225353847219149
"2014009-010","1","11",0.0866062440538102,0.0178627052410906,152.908295368571,0.0549115579304977,0.125490670301348
"2014009-012","1","11",0.234356018881369,0.0293839844497732,152.908295451944,0.179899896319888,0.296001881567013
"2014009-034","1","11",0.105552452534649,0.0197199947024006,152.908295442106,0.0701885057976337,0.148106139395835
"2014009-041","1","11",0.148564294631714,0.0327821378471538,166.340149783076,0.0908907808388469,0.220336173906701
"2014009-046","1","11",0.143278710520722,0.0229754201338078,152.908295403609,0.101483346083001,0.192263815082642
"2014010-010","1","11",0.114697587080565,0.0205565282975129,152.90829535984,0.0776809847737616,0.158903929511599
"W1406-001","1","11",0.118400768816592,0.0208857411298518,152.908295383107,0.0807337737173056,0.163257504040092
"W1411-017","1","11",0.171112016383986,0.0251080441773587,152.908295383078,0.125103440397836,0.224310332494351
"W1425-006","1","11",0.191463098573561,0.0265592111182687,152.908295386374,0.142587597527387,0.247528339743947
"2014001-005","2","11",0.301479424818502,0.033327402656904,152.908296579458,0.23923268619732,0.370915903563001
"2014005-019","2","11",0.138501396356135,0.0225891404430372,152.908295339559,0.0974691659826269,0.18672336685389
"2014005-024","2","11",0.112583413666942,0.0203661921083118,152.908295373599,0.0759428394898484,0.156413727968257
"2014006-046","2","11",0.120411472578316,0.02106233729899,152.908295404984,0.0823955941297217,0.165617091151109
"2014007-001","2","11",0.16567235525472,0.0247057278333388,152.908295349176,0.120458595341144,0.218075855292536
"2014008-016","2","11",0.1742051036827,0.0253339591993899,152.908295337198,0.127750210033166,0.227849737456484
