"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","18",15.0196423817522,1.08120917323081,Inf,12.97525873404,17.2135208126134
"2014005-019","1","18",9.59476739967807,0.864165951668442,Inf,7.97578064931664,11.3632489331885
"2014005-024","1","18",12.7118111977615,0.988142758379986,Inf,10.8488550022293,14.722303438247
"2014006-046","1","18",10.1554165094768,0.889055341588803,Inf,8.48764745127427,11.9726803508283
"2014007-001","1","18",10.5772662326972,0.907332868149253,Inf,8.87367388070968,12.4303533678336
"2014008-016","1","18",13.7861344452872,1.04381343917831,Inf,11.8161972913381,15.9078707860749
"2014009-010","1","18",9.91330134536195,0.878393431721471,Inf,8.26642924650582,11.7096682273671
"2014009-012","1","18",14.2965796401398,1.05486285448041,Inf,12.3038338283036,16.438820235125
"2014009-034","1","18",12.2088346167545,0.974803390284066,Inf,10.3730024713646,14.1941615452933
"2014009-041","1","18",13.1087277762411,1.01009029395458,Inf,11.2037345705311,15.1632157651
"2014009-046","1","18",10.9932391567111,0.925002195702974,Inf,9.25501555908733,12.8809575374839
"2014010-010","1","18",11.4499477293358,0.944021048289632,Inf,9.67444786561483,13.3749423762057
"W1406-001","1","18",8.21117611157065,0.805571891432231,Inf,6.70818380778064,9.86596759611061
"W1411-017","1","18",10.3673268454658,0.898283289809478,Inf,8.6814713410996,12.2026771329811
"W1425-006","1","18",13.8775454270194,1.04730993545913,Inf,11.9007613012982,16.0061408095999
"2014001-005","2","18",15.5447134182395,1.09994579933362,Inf,13.463606658174,17.775314961454
"2014005-019","2","18",10.0153404882966,0.882902577771231,Inf,8.3596306255819,11.8205451341603
"2014005-024","2","18",13.1952220547876,1.00679112336037,Inf,11.2957208487242,15.2422695322061
"2014006-046","2","18",10.5879728802806,0.907791967691593,Inf,8.8834807097248,12.4419598339853
"2014007-001","2","18",11.018622528253,0.926069494252044,Inf,9.27830706391222,12.9084327757427
"2014008-016","2","18",14.2893717370512,1.06273618145574,Inf,12.2823527263811,16.4482020078229
"2014009-010","2","18",10.3407244173994,0.897130057824261,Inf,8.65712920618996,12.1738144117577
"2014009-012","2","18",14.8089659393499,1.0735994805832,Inf,12.7794970151604,16.9879296466883
"2014009-034","2","18",12.6826753688806,0.993540016386856,Inf,10.8101201111375,14.7047254097726
